Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
13364;-2096;5376;2189;-2864;-2463;33,43;35,33
14132;-3016;7312;-494;-987;93;33,39;35,29
14952;-1744;7308;1118;-2311;-759;33,43;34,99
15088;-1736;6012;-1334;-532;253;33,39;34,65
14788;-1248;5500;1818;-1520;-853;33,39;34,1
15232;-1344;5632;-228;-328;9;33,39;34,1
15456;-1340;5636;-68;-216;-84;33,35;34,13
15260;-1236;5300;-241;255;3;33,29;34,13
15168;-1396;5492;-632;717;292;33,35;34,51
15080;-1580;5716;-1063;706;408;33,39;35,39
15048;-1984;6212;-770;540;237;33,43;35,77
14924;-1956;6260;-720;392;178;33,47;36,7
14928;-2144;6632;-703;746;371;33,47;36,7
14552;-2084;6456;-344;833;135;33,47;36,7
14560;-2412;6880;-514;240;-30;33,47;36,7
14596;-2360;6920;-360;188;39;33,51;36,7
14592;-2372;6688;-335;77;-60;33,55;36,7
14564;-2372;6816;-480;192;37;33,55;36,7
14448;-2544;6932;-401;183;43;33,55;35,99
14656;-2524;7060;-79;-360;-224;33,55;35,65
14724;-2344;6744;-52;-427;-110;33,55;34,91
14664;-2276;6872;369;-911;-349;33,51;33,37
14704;-1912;6300;206;-327;-248;33,51;32,55
14988;-1920;6328;369;-675;-326;33,43;32,19
15024;-1660;5880;301;-508;-515;33,39;32,37
15124;-1416;5640;158;-606;-292;33,35;32,37
15148;-1156;5504;263;-304;-382;33,29;32,63
15308;-1116;5456;67;-431;-142;33,29;32,85
15420;-1316;5500;-100;-211;-229;33,25;33,15
15308;-1204;5380;-392;289;3;33,25;33,67
15384;-1188;5632;-584;398;126;33,25;34,61
15352;-1352;5868;-1033;721;313;33,25;35,17
15320;-1464;5996;-874;734;217;33,29;35,55
15008;-1608;6300;-719;530;91;33,35;35,85
15108;-1876;6464;-748;676;181;33,35;35,85
14972;-1960;6688;-577;428;53;33,43;35,91
14764;-1860;6720;-522;264;69;33,43;36,3
14784;-2052;6764;-180;-166;-210;33,47;35,85
14720;-1980;6944;-553;245;120;33,47;35,65
14732;-2028;6876;-363;19;-47;33,47;35,25
14684;-2096;6852;-386;127;-31;33,51;34,87
14800;-2080;6992;-215;-163;-118;33,51;34,43
14920;-1908;6560;179;-500;-298;33,47;33,41
14952;-1636;5920;111;-280;-269;33,43;32,85
15052;-1596;6204;-217;-382;-121;33,39;32,51
15116;-1800;6180;11;-416;-148;33,35;32,59
15256;-1628;5808;290;-370;-213;33,29;32,85
15304;-1416;5580;77;-481;-222;33,29;32,97
15300;-1408;5580;-129;-491;-61;33,29;33,23
15272;-1356;5648;-357;-116;-23;33,29;33,55
15412;-1272;5708;-448;68;-16;33,29;34,13
15268;-1384;5864;-664;179;130;33,29;34,77
15224;-1464;5956;-816;532;238;33,29;34,77
15044;-1620;6084;-820;534;150;33,35;35,13
14896;-1632;6208;-525;460;8;33,35;35,55
14908;-1952;6520;-557;339;36;33,39;35,73
14904;-1796;6420;-474;244;56;33,43;35,85
14928;-2104;6484;-605;296;-27;33,47;35,81
14824;-1956;6552;-406;116;5;33,47;35,65
14836;-2056;6640;-295;-50;-129;33,47;35,25
14640;-2108;6668;-376;14;-6;33,51;34,91
14908;-2036;6616;-473;141;13;33,47;34,91
14936;-2164;6436;-171;-420;-56;33,51;34,39
14888;-1952;6484;-40;-696;-139;33,47;33,45
15016;-1780;6080;90;-456;-266;33,39;32,45
15096;-1808;5924;-125;-431;-92;33,35;31,89
15072;-1584;5768;35;-471;-170;33,29;31,99
